montant,dateDebut,dateFin,status
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired
2500.00,2024-05-20,2024-12-20,Active
1500.00,2024-01-01,2024-12-31,Active
2000.00,2024-02-15,2024-08-15,Completed
3500.00,2024-03-01,2024-11-01,Active
1000.00,2024-04-10,2024-07-10,Expired